Date,Open,High,Low,Close,Adj Close,Volume
03-02-2022,2905.900,2982.35,2844.10,2853.01,2853.01,2846500.00
04-02-2022,2860.340,2890.71,2796.35,2860.32,2860.32,2461200.00
07-02-2022,2874.180,2876.93,2773.98,2778.76,2778.76,2230500.00
08-02-2022,2779.825,2796.74,2737.46,2784.26,2784.26,1712800.00
09-02-2022,2816.995,2843.51,2807.54,2829.06,2829.06,1431400.00
10-02-2022,2790.000,2828.62,2761.00,2772.05,2772.05,1650900.00
11-02-2022,2775.000,2785.67,2665.77,2682.60,2682.60,1940400.00
14-02-2022,2667.310,2723.33,2666.04,2706.00,2706.00,1339600.00
15-02-2022,2749.430,2758.00,2710.79,2728.51,2728.51,1328900.00
16-02-2022,2728.610,2758.92,2696.47,2749.75,2749.75,1280500.00
17-02-2022,2723.000,2736.79,2644.04,2646.17,2646.17,1548400.00
18-02-2022,2660.750,2676.48,2606.14,2609.35,2609.35,1592900.00
22-02-2022,2599.700,2638.01,2554.82,2588.05,2588.05,1945300.00
23-02-2022,2621.570,2634.98,2550.07,2551.70,2551.70,1321600.00
24-02-2022,2500.000,2660.74,2495.29,2653.47,2653.47,2158300.00
25-02-2022,2670.510,2707.78,2635.30,2690.39,2690.39,1311800.00
28-02-2022,2665.690,2712.81,2656.50,2697.82,2697.82,1483800.00
01-03-2022,2689.600,2722.22,2667.57,2683.36,2683.36,1232000.00
02-03-2022,2692.165,2712.31,2668.65,2695.03,2695.03,1198300.00
03-03-2022,2719.570,2734.28,2668.62,2686.16,2686.16,989000.00
04-03-2022,2667.650,2683.98,2608.17,2642.44,2642.44,1222300.00
07-03-2022,2638.080,2638.08,2528.20,2529.29,2529.29,1958900.00
08-03-2022,2525.010,2624.93,2517.22,2545.57,2545.57,1762500.00
09-03-2022,2628.000,2683.97,2601.76,2677.32,2677.32,1612900.00
10-03-2022,2629.250,2670.77,2628.02,2653.64,2653.64,1213300.00
11-03-2022,2679.990,2684.00,2605.93,2609.51,2609.51,1330000.00
14-03-2022,2611.460,2620.52,2528.26,2534.82,2534.82,1512700.00
15-03-2022,2554.830,2610.34,2531.36,2593.21,2593.21,1514600.00
16-03-2022,2620.000,2675.42,2584.02,2673.81,2673.81,1602900.00
17-03-2022,2666.420,2694.79,2654.38,2692.01,2692.01,1199700.00
18-03-2022,2677.680,2738.27,2658.64,2736.03,2736.03,2295000.00
21-03-2022,2736.950,2751.65,2692.23,2729.57,2729.57,1331600.00
22-03-2022,2730.000,2830.00,2730.00,2805.55,2805.55,1488800.00
